AHLF;Haslohfurth;Haslohfurth;NE-Hp
AHLH;Hasloh;Hasloh;NE-Bf
AHM;Husum;Husum;Bf
AHO;Hamburg Unterelbe Seehafen;Hmb U-elbe See;Bft
AHOE;Hörn;Hörn;Abzw
AHOF;Hesedorf;Hesedorf;NE-Bf
AHOG;Horneburg;Horneburg;Bf
AHOR;Hamburg-Horn;Horn;Abzw
AHOS;Hamburg Hohe Schaar;Hmb Hohe Schaar;NE-Bft
AHOSS;Hamburg Hohe Schaar Süd;Hmb H Schaar Süd;NE-Bft
AHOW;Hamburg Hörgensweg;Hörgensweg;NE-Hp
AHPA;Hamburg Hafen;Hamburg Hafen;NE-Bf
AHRF;Hamburg-Harburg Rathaus;Harburg Rathaus;Bf
AHRO;Hamburg-Rothenburgsort;Hmb-Rothburgsort;Bf
AHROF;Hamburg-Rothenburgsort Tk;Hmb-Roth Tk;Bft
AHROO;Hamburg-Rothenburgsort Ro;Hmb-Roth Ro;Bft
AHROP;Hamburg-Rothenburgsort Rop;Hmb-Roth Rop;Bft
AHS;Hamburg Hbf (S-Bahn);Hauptbahnhof SB;Bf
AHSB;Hamburg Hasselbrook (S-Bahn);Hasselbr S-Bahn;Bf
AHSD;Harsefeld Süd;Harsefeld Süd;NE-Bf
AHSG;Hasselburg;Hasselburg;Bf
AHSH;Hamburg Holstenstraße H;Holstenstr H;Abzw
AHSO;Hamburg Holstenstraße D;Holstenstr D;Abzw
AHTB;Hüttenbusch;Hüttenbusch;NE-Bf
AHWA;Heinschenwalde;Heinschenwalde;NE-Bf
AHWT;Hohenwestedt;Hohenwestedt;Bf
AIZ;Itzehoe;Itzehoe;Bf
AJ;Jübek;Jübek;Bf
AK;Kiel Hbf;Kiel Hbf;Bf
AK O;Kiel Hbf (Ko);Kiel Hbf (Ko);Bft
AKE;Kiel-Elmschenhagen;Kiel-Elmschenhgn;Bf
AKEL;Kiel-Ellerbek;Kiel-Ellerbek;NE-Hp
AKEW;Kiel-Wellsee;Kiel-Wellsee;Awanst
AKGA;Kiel-Gaarden;Kiel-Gaarden;NE-Hp
AKH;Kiel-Hassee Cittipark;K-Hassee Cittip;Bf
AKHB;Karlshöfen (Bz Bremen);Karlshöfen/Brm;NE-Hp Anst
AKI;Keitum;Keitum;Bf
AKML;Kuhmühlen;Kuhmühlen;NE-Bf
AKNH;Kiel Nordhafen;Kiel Nordhafen;NE-Bf
AKNK;Kiel Norwegenkai KV;Kiel Norwegenkai;NE-Anst
AKOH;Kiel Ostuferhafen;Kiel Ostuferhf;NE-Bf
AKPP;Kappeln (Schlei);Kappeln (Schlei);NE-Bf
AKSA;Kiel Süd (Ss);Kiel Süd (Ss);NE-Abzw
AKSC;Kiel Scheerhafen;Kiel Scheerhafen;NE-Bf
AKSL;Kiel Schulen am Langsee;Kiel S a Langsee;NE-Hp
AKSS;Kiel Hbf (Ss);Kiel Hbf (Ss);Abzw
AKSU;Kiel Süd;Kiel Süd;NE-Bf
AKTH;Kutenholz;Kutenholz;NE-Bf
AKTK;Kaltenkirchen (Holst);Kaltenk (Holst);NE-Bf
AKTKD;Kaltenkirchen dodenhof;dodenhof;NE-Bft
AKTKH;Kaltenkirchen Holstentherme;Holstentherme;NE-Hp
AKTKS;Kaltenkirchen Süd;Kaltenk Süd;NE-Bft
AKUD;Kudensee;Kudensee;Awanst
AKWK;Kiel-Wik;Kiel-Wik;NE-Bf
AKX;Klanxbüll;Klanxbüll;Bf
AL;Lübeck Hbf;Lübeck Hbf;Bf
ALA;Hamburg-Langenfelde Bbf;Hmb-Langenfd Bbf;Bft
ALAA;Hamburg-Langenfelde Abzw;Hmb-Langenf Abzw;Bft Abzw
ALAL;Langeln (Holst);Langeln(Holst);NE-Hp
ALAS;Hamburg Landungsbrücken;Landungsbrücken;Bf
ALAU;Lauenburg (Elbe);Lauenburg (Elbe);Bf
ALBG;Lüneburg;Lüneburg;Bf
ALBGG;Lüneburg Gbf;Lüneburg Gbf;Bft
ALBGN;Lüneburg Nordkopf;Lüneburg Nordk;Bft
ALD;Lübeck-Dänischburg;Lübeck-Dänischbg;Bf
ALD A;Lübeck-Dänischburg IKEA Abzw;Lübeck IKEA Abzw;Bft Abzw
ALD G;Lübeck-Dänischburg Gbf;L-Dänischbg Gbf;Bft
ALFD;Lentföhrden;Lentföhrden;NE-Bf
ALGD;Lägerdorf;Lägerdorf;Anst
ALGE;Lübeck-Genin;Lübeck-Genin;Awanst
ALGM;Elmshorn Langenmoor;Langenmoor;NE-Hp
ALH;Lindholm;Lindholm;Bf
ALHA;Lübeck Hafen;Lübeck Hafen;NE-Bf
ALHG;Lehnshallig;Lehnshallig;Bf
ALKN;Lübeck-Kücknitz;Lübeck-Kücknitz;Abzw
ALKO;Lübeck Konstinbahnhof;Lübeck Konstinbf;Bf
ALOF;Hamburg-Lokstedt;Hamburg-Lokstedt;Bf
ALR;Lübeck Hgbf;Lübeck Hgbf;Bf
ALRA;Lübeck Hgbf Abzw;Lübeck Hgbf Abzw;Bft Abzw
ALRT;Lübeck Schlutuper Tannen;Schlutuper Tann;Anst
ALS;Lensahn;Lensahn;Bf
ALSC;Lübeck-Schlutup;Lübeck-Schlutup;Bf
ALSK;Lübeck Skandinavienkai;Lüb Skand-kai;Bf
ALUB;Lauenbrück;Lauenbrück;Bf
AM;Maschen Rbf;Maschen Rbf;Bf
AM N;Maschen Rbf (Mnwf);Maschen Rbf Mnwf;Bft
AM O;Maschen Rbf (Mnof);Maschen Rbf Mnof;Bft
AM S;Maschen Rbf (Msof);Maschen Rbf Msof;Bft
AM W;Maschen Rbf (Mswf);Maschen Rbf Mswf;Bft
AMA;Maschen Pbf;Maschen Pbf;Bf
AMBH;Norderstedt Moorbekhalle;Moorbekhalle;NE-Hp
AMD;Meckelfeld;Meckelfeld;Bft Abzw
AMH;Mulmshorn;Mulmshorn;NE-Bf
AMLN;Mölln (Lauenburg);Mölln (Lauenb);Bf
AMM;Morsum (Sylt);Morsum (Sylt);Bf
AMOO;Hamburg-Moorfleet;Hmb-Moorfleet;NE-Bf
AMRO;Meimersdorf Ost;Meimersdorf Ost;Bft Abzw
AMS;Mulsum-Essel;Mulsum-Essel;NE-Bf
AMSB;Maasbüll (b Niebüll);Maasbüll;NE-Hp
AMSS;Meeschensee;Meeschensee;NE-Hp
AN;Neumünster;Neumünster;Bf
AN G;Neumünster Gbf;Neumünster Gbf;Bft
ANB;Niebüll;Niebüll;Bf
ANB A;Niebüll Autozug;Niebüll Autozug;NE-Bft
ANBA;Süderlügum Awanst;Süderlügum Awans;NE-Awanst
ANBN;Niebüll neg;Niebüll neg;NE-Bf
ANBS;Süderlügum;Süderlügum;NE-Hp
AND;Norderstedt;Norderstedt;NE-Bf
ANDM;Norderstedt Mitte;Norderst Mitte;NE-Bft
ANDS;Nordsode;Nordsode;NE-Hp
ANEB;Hamburg Norderelbbrücke;Norderelbbr;Abzw
ANEK;Neukirchen (Holst);Neukirchen/Holst;Bf
ANF;Nortorf;Nortorf;Bf
ANIB;Norderstedt Industriebahn;Norderstedt Ind;NE-Bf
ANM;Neumünster Süd AKN;Neumünster Süd;NE-Bf
ANN;Neustadt (Holst) Gbf;Neustadt/Hol Gbf;Bf
ANR;Hamburg-Neugraben;Hmb-Neugraben;Bf
ANRS;Hamburg-Neugraben (S-Bahn);Neugr (S-Bahn);Bf
ANSJ;Neu St Jürgen;Neu St Jürgen;NE-Bf
ANTZ;Nützen;Nützen;NE-Hp
ANW;Neuwittenbek;Neuwittenbek;Bf
ANZ;Nordholz;Nordholz;Bf
AO;Bad Oldesloe;Bad Oldesloe;Bf
AOBG;Ottersberg (Han);Ottersberg (Han);Bf
AOE;Oerel;Oerel;NE-Bf
AOES;Oerel Süd;Oerel Süd;NE-Hp Anst
AOH;Hamburg-Othmarschen;Othmarschen;Bf
AOHA;Hamburg Oberhafen;Oberhafen;Abzw
AOL;Oldenburg (Holst);Oldenburg(Holst);Bf
AOL A;Oldenburg (Holst) Gbf;Oldenburg(H) Gbf;Bft
AONA;Osterrönfeld Awanst;Osterrönf Awanst;Awanst
AOPD;Oppendorf;Oppendorf;NE-Bf
AOPDK;Oppendorf Kraftwerk;Oppendorf Kraftw;NE-Anst
AOPS;Hamburg-Ohlsdorf (S-Bahn);Ohlsdorf(S-Bahn);Bf
AOR;Ohrstedt;Ohrstedt;Awanst
AOS;Owschlag;Owschlag;Bf
AOSD;Ostersode;Ostersode;NE-Hp
AOSO;Osterholz-Scharmbeck Ost;Oster-Scharm Ost;NE-Bf
AP;Pinneberg;Pinneberg;Bf
APB;Hamburg-Poppenbüttel;Poppenbüttel;Bf
APF;Pansdorf;Pansdorf;Bf
APLN;Plön;Plön;Bf
APN;Pönitz (Holst);Pönitz (Holst);Bf
APOF;Pogeez;Pogeez;Bf
APS;Pinneberg (S-Bahn);Pinneberg SB;Bf
APSH;Probsteierhagen;Probsteierhagen;NE-Bf
APU;Puttgarden;Puttgarden;Bf
APZ;Preetz;Preetz;Bf
AQB;Quickborn;Quickborn;NE-Bf
AQBD;Quickborn Süd;Quickborn Süd;NE-Bft
AQBS;Norderstedt Quickborner Straße;Quickborner Str;NE-Hp
